Geography,CAL_CS_2019,Population_Estimate_2018,EV_reg_2018,EV_total_2025,Weight_Range_low,Weight_Range_high,dx32,dx90,housing_units_detached,Total_housing_units_1_attached,Apartments,One_car,Two_cars,Three_m_cars,Value_units_Median_dollars,EV_2018,EV_perc18_224314,EV_newreg25_737446,EV_total25_3102009,,
Alameda_County,311,1666753,18933,261822,194,116,4,37,315916,49541,200735,184062,204748,124611,649100,,8.44040051,62243,261822,,
Alpine_County,2,1101,1,14,194,116,3,44,1116,100,502,84,103,101,343800,,0.000445804,3,14,,
Amador_County,11,39383,57,788,194,116,2,41,15294,479,1098,3756,5530,4312,278600,,0.025410808,187,788,,
Butte_County,19,231256,290,4010,194,116,17,47,61600,3408,18128,28060,32326,19834,238200,,0.129283059,953,4010,,
Calaveras_County,4,45602,89,1231,194,116,12,14,24297,419,872,4573,6633,6004,273400,,0.039676525,293,1231,,
Colusa_County,1,21627,23,318,194,116,1,68,6251,363,702,1703,2619,2422,223600,,0.010253484,76,318,, 
Contra_Costa_County,136,1150215,8932,123519,194,116,8,36,274008,31035,89106,107539,154268,105921,522300,,3.981918204,29364,123519,,
Del_Norte_County,4,27828,26,360,194,116,20,45,7229,366,1008,3743,3003,2000,185900,,0.011590895,85,360,,
El_Dorado_County,34,190678,800,11063,194,116,1,58,71970,1838,8992,15703,27784,21392,405900,,0.35664292,2630,11063,,
Fresno_County,75,994400,2732,37780,194,116,1,87,220865,7695,74884,100436,110618,64555,220600,,1.217935572,8982,37780,,
Glenn_County,1,28047,18,249,194,116,4,41,8030,247,1286,2887,3544,2869,214600,,0.008024466,59,249,,
Humboldt_County,36,136373,371,5131,194,116,3,45,42974,2386,9478,18935,19710,11361,285800,,0.165393154,1220,5131,,
Imperial_County,4,181827,126,1742,194,116,0,86,36797,1711,11351,13589,16336,11917,167700,,0.05617126,414,1742,,
Inyo_County,5,17987,41,567,194,116,0,45,5954,291,714,2689,2638,2016,243100,,0.01827795,135,567,,
Kern_County,36,896764,1066,14742,194,116,2,36,209163,7065,44848,82668,100723,62899,190600,,0.475226691,3505,14742,,
Kings_County,20,151366,179,2475,194,116,2,3,31894,1903,8091,13011,16598,9841,185600,,0.079798853,588,2475,,
Lake_County,3,64382,107,1480,194,116,10,38,24394,397,2030,9009,9271,6133,182000,,0.047700991,352,1480,,
Lassen_County,2,30802,9,124,194,116,3,64,9842,123,809,2653,3346,2889,177500,,0.004012233,30,124,,
Los_Angeles_County,1315,10105518,52112,720650,194,116,5,45,1729296,227942,1402913,1130340,1165144,696415,495800,,23.23171982,171321,720650,,
Madera_County,17,157672,208,2876,194,116,4,57,40003,939,4922,12489,16461,12734,220400,,0.092727159,684,2876,,
Marin_County,88,259666,3830,52965,194,116,0,103,71199,9753,26231,34755,42122,22798,908800,,1.70742798,12591,52965,,
Mariposa_County,10,17471,26,360,194,116,4,54,7570,90,439,1934,2784,2477,259500,,0.011590895,85,360,,
Mendocino_County,44,87606,270,3734,194,116,4,37,29902,1222,4289,10945,12910,7989,338000,,0.120366986,888,3734,,
Merced_County,21,274765,261,3609,194,116,0,53,64055,1753,10692,23407,29111,21126,196200,,0.116354753,858,3609,,
