LATITUDE,LONGITUDE
34.2711,-118.1525
41.24,-120.79
36.3769,-119.6527
39.3021,-120.3837
37.6483,-121.8745
38.4786,-122.7119
35.6345,-117.9782
37.9672,-120.3872
36.9308,-121.7691
38.7333,-120.245
38.4882,-120.6313
39.2206,-123.3312
40.7333,-123.2333
37.1822,-120.7939
36.3478,-120.5978
34.0583,-118.6333
39.3975,-121.3861
39.14,-120.22
36.4108,-118.8092
39.5861,-122.5341
38.1,-122.1869
34.3725,-117.3404
33.8299,-118.3882
37.3102,-120.4968
39.9733,-120.9419
37.8444,-120.2258
41.89,-120.75
39.563,-121.1077
39.8333,-123.0833
34.195,-117.3502
37.0544,-119.3711
39.1258,-123.0736
37.0664,-119.0394
40.4319,-121.9958
35.7636,-117.3908
34.1392,-118.1161
37.8431,-118.4778
37.6922,-121.7691
40.1705,-121.0886
40.9869,-121.9772
40.6306,-120.5028
37.3591,-121.924
39.43,-120.31
37.745,-118.9833
38.28,-119.61
41.295,-120.3133
41.8586,-123.3525
39.6514,-122.7236
40.2569,-124.2661
33.95194,-117.43861
33.3933,-116.795
41.96,-121.4744
33.87194,-117.97889
33.81299,-116.64193
37.4094,-119.7681
39.514,-121.518
33.4833,-119.0333
35.6277,-120.6855
34.1689,-118.2947
38.2215,-122.143
37.6241,-120.9505
39.2774,-120.7102
33.7044,-115.6289
41.7358,-123.7917
32.56667,-117.11667
38.5319,-123.1886
38.0627,-121.0079
37.2381,-120.8825
38.31,-119.6
38.4733,-122.8974
37.3581,-122.1472
36.3539,-121.5766
32.83417,-115.57861
32.57222,-116.97944
37.5042,-119.9869
34.4067,-116.9486
39.4064,-121.5
39.3308,-121.1922
35.8644,-120.8031
36.8422,-121.3622
32.9491,-117.0588
34.243,-116.917
37.585,-120.2672
40.1867,-123.5903
36.78,-119.7194
34.01583,-118.45139
38.2777,-122.2647
39.9389,-122.1697
41.9919,-123.6036
41.49139,-120.56444
36.6066,-120.8841
33.0375,-116.91583
40.1519,-122.2536
35.1011,-118.4222
34.8536,-116.7858
34.1942,-116.9131
33.5954,-117.6442
38.5764,-122.578
40.7263,-122.7947
38.5066,-122.4713
36.3642,-120.1561
39.3946,-121.4047
33.8222,-116.5043
33.1472,-117.1316
39.0914,-120.7317
38.8957,-120.9818
33.8209,-117.4051
34.988,-120.3211
34.2052,-117.8608
33.7307,-117.4276
34.0842,-118.1003
36.8544,-121.4035
37.1317,-122.17
38.5069,-121.495
34.4397,-119.8961
41.8715,-120.1574
38.5425,-121.721
33.7572,-116.7066
40.5446,-122.1734
34.1847,-118.7172
40.2002,-124.1053
34.3903,-118.0825
34.6538,-120.4513
36.2356,-121.785
35.7022,-118.1739
37.7778,-122.2032
41.0614,-124.124
39.3528,-123.6011
37.39,-118.5506
34.2828,-116.3751
38.5236,-120.7061
34.3591,-116.5378
38.5753,-121.34
38.68,-119.96
37.4058,-122.0481
39.12583,-123.20083
37.135,-119.2561
39.3619,-123.1286
39.2382,-121.0463
40.2145,-122.2429
39.8717,-121.7689
32.8651,-116.6175
37.5147,-122.0325
33.1552,-116.1688
33.6667,-116.7667
34.3906,-116.5169
32.7698,-116.9788
32.76536,-117.2315
40.6235,-122.3536
37.5531,-121.8439
33.7442,-117.8667
34.3717,-118.8408
37.28472,-120.51278
37.9363,-122.3157
41.2769,-121.9794
33.7527,-116.9196
40.7864,-122.8045
34.1866,-118.348
32.7358,-117.0483
34.1369,-117.7069
38.0631,-120.2469
38.0047,-120.4863
36.9219,-121.3402
33.6031,-117.8836
39.8075,-122.945
40.9473,-123.6279
32.64,-117.0858
35.367,-120.8447
41.075,-122.3733
39.2083,-122.8083
37.6542,-122.115
38.041,-122.543
34.2311,-119.0299
37.3436,-121.6425
32.7336,-117.1831
39.1875,-122.0269
41.99,-120.18
37.0547,-121.0531
39.9278,-122.6569
39.361,-123.789
41.53,-120.6714
33.72,-117.723
32.7907,-116.987
33.6153,-117.0911
36.3886,-121.5517
40.7586,-120.8961
36.7878,-118.6561
40.5181,-122.3692
40.4808,-120.1139
36.2314,-118.8689
37.9613,-119.783
32.9903,-116.0669
