valid,tmpf
2015-12-27T00:00:00Z,2170.14
2016-01-03T00:00:00Z,9555.58
2016-01-10T00:00:00Z,10350.08
2016-01-17T00:00:00Z,12955.76
2016-01-24T00:00:00Z,10729.54
2016-01-31T00:00:00Z,8905.3
2016-02-07T00:00:00Z,10596.4
2016-02-14T00:00:00Z,10580.82
2016-02-21T00:00:00Z,10059.6
2016-02-28T00:00:00Z,13262.16
2016-03-06T00:00:00Z,12174.8
2016-03-13T00:00:00Z,10860.66
2016-03-20T00:00:00Z,10377.5
2016-03-27T00:00:00Z,10508.54
2016-04-03T00:00:00Z,12037.9
2016-04-10T00:00:00Z,10946.84
2016-04-17T00:00:00Z,11357.82
2016-04-24T00:00:00Z,9394.74
2016-05-01T00:00:00Z,10870.14
2016-05-08T00:00:00Z,10839.18
2016-05-15T00:00:00Z,21946.12
2016-05-22T00:00:00Z,23073.78
2016-05-29T00:00:00Z,16919.72
2016-06-05T00:00:00Z,11107.54
2016-06-12T00:00:00Z,13863.36
2016-06-19T00:00:00Z,28368.5
2016-06-26T00:00:00Z,25749.88
2016-07-03T00:00:00Z,13113.76
2016-07-10T00:00:00Z,10660.78
2016-07-17T00:00:00Z,11061.68
2016-07-24T00:00:00Z,10420.2
2016-07-31T00:00:00Z,11349.16
2016-08-07T00:00:00Z,11027.880000000001
2016-08-14T00:00:00Z,10957.86
2016-08-21T00:00:00Z,11389.92
2016-08-28T00:00:00Z,11832.84
2016-09-04T00:00:00Z,10966.3
2016-09-11T00:00:00Z,10577.58
2016-09-18T00:00:00Z,10889.460000000001
2016-09-25T00:00:00Z,11236.56
2016-10-02T00:00:00Z,11019.76
2016-10-09T00:00:00Z,10204.4
2016-10-16T00:00:00Z,11357.92
2016-10-23T00:00:00Z,12172.52
2016-10-30T00:00:00Z,10972.18
2016-11-06T00:00:00Z,11407.2
2016-11-13T00:00:00Z,10830.8
2016-11-20T00:00:00Z,10588.1
2016-11-27T00:00:00Z,9474.6
2016-12-04T00:00:00Z,11167.7
2016-12-11T00:00:00Z,10817
2016-12-18T00:00:00Z,8473.3
2016-12-25T00:00:00Z,8231.1
2017-01-01T00:00:00Z,10129.2
2017-01-08T00:00:00Z,11651.6
2017-01-15T00:00:00Z,9666.2
2017-01-22T00:00:00Z,9050.9
2017-01-29T00:00:00Z,10039.1
2017-02-05T00:00:00Z,12018.6
2017-02-12T00:00:00Z,10295.9
2017-02-19T00:00:00Z,10343.3
2017-02-26T00:00:00Z,9006.2
2017-03-05T00:00:00Z,10087.2
2017-03-12T00:00:00Z,10483.9
2017-03-19T00:00:00Z,11485.1
2017-03-26T00:00:00Z,10292.3
