Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,County,EV Connector Types,,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID
ELEC,Central Parking - Tower 31,9 W 31st Street,,New York,NY,10001,New York,J1772,,,2,,,Blink Network,GPS,40.74709,-73.98667,7/31/19,95069
ELEC,BEAM CHARGING,776 Avenue of the Americas,"777 SIXTH AVE; Enter parking garage on 26th Ave, between 6th ave and Broadway (North Side). See valet attendant to use charging station.",New York,NY,10001,New York,J1772,,,2,,,ChargePoint Network,GPS,40.7449139,-73.9910276,6/12/19,80061
ELEC,iPark Eleventh Avenue Garage Corp. - Tesla Destination,552 W 30th St,,New York,NY,10001,New York,TESLA,,,2,,,Tesla Destination,200-8,40.752693,-74.002954,5/9/19,115161
ELEC,Quik Park Garden Lots LLC - Tesla Destination,126 West 32nd St,,New York,NY,10001,New York,TESLA,,,2,,,Tesla Destination,200-9,40.748789,-73.989915,5/9/19,115009
ELEC,GGMC Parking - 550 W 25th - Tesla Destination,550 W 25th St,,New York,NY,10001,New York,TESLA,,,1,,,Tesla Destination,200-9,40.749666,-74.005485,5/9/19,115160
ELEC,MPG 500 West 30th - Tesla Destination,500 W 30th,,New York,NY,10001,New York,TESLA,,,2,,,Tesla Destination,200-9,40.751987,-74.001701,5/9/19,115145
ELEC,Standard Parking 800 6th Ave - Tesla Destination,54 W 28th St,,New York,NY,10001,New York,TESLA,,,2,,,Tesla Destination,200-8,40.745449,-73.989622,5/9/19,115155
ELEC,776 Sixth Avenue,776 Avenue of the Americas,Enter Parking garage on 26th Ave.  Between 6th Ave. and Broadway (North  Side). See valet to use charging  station. ,New York,NY,10001,New York,J1772,,,1,,,Blink Network,GPS,40.74528,-73.991422,7/31/19,124142
ELEC,Eventi Hotel - LAZ,851 Avenue of the Americas,,New York,NY,10001,New York,J1772,,,1,,,Blink Network,GPS,40.758681,-73.98135,7/31/19,124149
ELEC,iPark 200 West Garage Corp. - Tesla Destination,220 W 26th St,,New York,NY,10001,New York,TESLA,,,2,,,Tesla Destination,200-9,40.746142,-73.995221,5/9/19,115055
ELEC,MPG 530 West 30th - Tesla Destination,530 W 30th,,New York,NY,10001,New York,TESLA,,,2,,,Tesla Destination,200-9,40.752558,-74.002736,5/9/19,115152
ELEC,iPark - 59 Allen Street Garage,59 Allen Street,Attendant will assist in charging  vehicle.  Parking rates apply. Inquire  within. ,New York,NY,10002,New York,J1772,,,2,,,Blink Network,GPS,40.717195,-73.991658,7/31/19,95271
