STATION,County,NAME,LATITUDE,LONGITUDE,LatLong,,ELEVATION,DATE,CLDD,DT00,DX32,DX70,DX90,HTDD
ALBANY,Albany,,42.74722,-73.79912,,,,,,7,37,131,12.5,
USW00014735,Albany,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,"(42.74722, -73.79912)",,85.3,2018,1026,4,33,139,20,6363
US1NYAB0006,Albany,"SCHENECTADY 5.6 SSW, NY US",42.7198,-73.9304,"(42.7198, -73.9304)",,88.7,2018,,,,,,
US1NYAB0021,Albany,"NWS ALBANY, NY US",42.6918,-73.8311,"(42.6918, -73.8311)",,79.2,2018,,,,,,
USC00300063,Albany,"ALCOVE DAM, NY US",42.4697,-73.9267,"(42.4697, -73.9267)",,185,2018,552,10,41,123,5,7037
US1NYAB0001,Albany ,"ALTAMONT 2.7 SSW, NY US",42.667,-74.0509,"(42.667, -74.0509)",,445,2018,,,,,,
US1NYAB0032,Albany ,"GLENMONT 2.5 SW, NY US",42.5754,-73.7995,"(42.5754, -73.7995)",,54.6,2018,,,,,,
ALLEGANY,Allegany,,42.27984,-77.76564,,,,,,15,52.33333333,134.6666667,3.666666667,
USC00300085,Allegany,"ALFRED, NY US",42.27984,-77.76564,"(42.27984, -77.76564)",,586.4,2018,374,15,50,132,1,7571
USC00307329,Allegany,"RUSHFORD, NY US",42.4261,-78.1922,"(42.4261, -78.1922)",,487.7,2018,,,,,,
USC00309072,Allegany,"WELLSVILLE, NY US",42.1173,-77.9475,"(42.1173, -77.9475)",,460.2,2018,451,13,61,131,1,7537
USC00300183,Allegany,"ANGELICA, NY US",42.3108,-78.023,"(42.3108, -78.023)",,449.6,2018,520,17,46,141,9,7384
BROOME,Broome,,42.2068,-75.98,,,,,,5,67,127,,
USW00004725,Broome,"BINGHAMTON GREATER AP, NY US",42.2068,-75.98,"(42.2068, -75.98)",,486.2,2018,514,5,67,127,3,7116
US1NYBM0024,Broome,"BINGHAMTON 1.3 ENE, NY US",42.1098,-75.8858,"(42.1098, -75.8858)",,259.4,2018,,,,,,
US1NYBM0004,Broome,"ENDICOTT 5.2 SSE, NY US",42.0296,-76.0213,"(42.0296, -76.0213)",,317,2018,,,,,,
USC00300684,Broome,"BINGHAMTON WEATHER FORECAST OFFICE, NY US",42.2116,-75.9858,"(42.2116, -75.9858)",,,,,,,,,
CATTARAUGUS,Cattaraugus,,42.2473,-78.8125,,,,,,12.6,55.2,138.6,1.8,
USC00304808,Cattaraugus,"LITTLE VALLEY, NY US",42.2473,-78.8125,"(42.2473, -78.8125)",,495.3,2018,447,12,66,133,0,7695
USC00303025,Cattaraugus,"FRANKLINVILLE, NY US",42.3295,-78.4637,"(42.3295, -78.4637)",,484.6,2018,499,20,56,142,1,7651
USC00300093,Cattaraugus,"ALLEGANY STATE PARK, NY US",42.1003,-78.7497,"(42.1003, -78.7497)",,457.2,2018,521,10,57,136,2,7415
USC00306196,Cattaraugus,"OLEAN, NY US",42.0737,-78.4518,"(42.0737, -78.4518)",,432.8,2018,626,13,52,144,3,7164
USC00305673,Cattaraugus,"CATTARAUGUS, NY US",42.32449,-78.86701,"(42.32449, -78.86701)",,413,2018,,,,,,
USC00306525,Cattaraugus,"PERRYSBURG, NY US",42.4647,-79.003,"(42.4647, -79.003)",,368.8,2018,685,8,45,138,3,6973
US1NYCT0022,Cattaraugus,"FRANKLINVILLE 0.5 NNE, NY US",42.3417,-78.4528,"(42.3417, -78.4528)",,,,,,,,,
CAYUGA,Cayuga,,42.7864,-76.7034,,,,,,9,52.5,135.5,7.5,
US1NYCY0026,Cayuga,"AURORA 2.4 N, NY US",42.7864,-76.7034,"(42.7864, -76.7034)",,152.7,2018,,,,,,
US1NYCY0027,Cayuga,"MORAVIA 5.9 ENE, NY US",42.7349,-76.3114,"(42.7349, -76.3114)",,532.2,2018,,,,,,
USC00300331,Cayuga,"AURORA RESEARCH FARM, NY US",42.7338,-76.6591,"(42.7338, -76.6591)",,253,2018,697,8,55,134,5,6850
USC00300321,Cayuga,"AUBURN, NY US",42.9327,-76.5447,"(42.9327, -76.5447)",,729,,,10,50,137,10,6954
CHAUTAUQUA,,,,,,,,,,34.25,23,135.6666667,2.333333333,
USW00014747,Chautauqua,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",42.49333,-79.27222,"(42.49333, -79.27222)",,203,2018,730,0,44,134,2,6491
USW00054780,Chautauqua,"MONTAUK AIRPORT, NY US",41.07306,-71.92333,"(41.07306, -71.92333)",,2.1,2018,832,0,8,124,4,4567
USC00306747,Chautauqua,"PORTLAND1 SW, NY US",42.3717,-79.4866,"(42.3717, -79.4866)",,246.3,2018,1021,0,33,149,1,6013
US1NYNS0034,Chautauqua,"WANTAGH 0.3 ESE, NY US",40.6668,-73.5054,"(40.6668, -73.5054)",,4.3,2018,,,,,,
