STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CLDD,DT00,DX32,DX70,DX90,HTDD
US1NYOS0015,"MINETTO 0.1 SE, NY US",43.3977,-76.4796,107,2018,,,,,,
US1NYER0060,"BLASDELL 1.5 SSW, NY US",42.7766,-78.8444,192,2018,,,,,,
US1NYWC0007,"YORKTOWN HEIGHTS 0.6 SW, NY US",41.2649,-73.7899,174,2018,,,,,,
US1NYWC0006,"SOUTH SALEM 2.1 NW, NY US",41.3003,-73.57,151.5,2018,,,,,,
USC00304808,"LITTLE VALLEY, NY US",42.2473,-78.8125,495.3,2018,447,12,66,133,0,7695
US1NYTM0023,"FREEVILLE 3.7 W, NY US",42.5021,-76.418,352,2018,,,,,,
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,2018,1661,0,12,158,38,4449
USW00014733,"BUFFALO NIAGARA INTERNATIONAL, NY US",42.9408,-78.7358,218.2,2018,890,4,43,142,6,6472
US1NYSR0004,"SARATOGA SPRINGS 0.5 S, NY US",43.0603,-73.7801,94.5,2018,,,,,,
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",42.74722,-73.79912,85.3,2018,1026,4,33,139,20,6363
USC00300317,"ATTICA 7 SW, NY US",42.8107,-78.3979,416.1,2018,,,,,,
US1NYDL0025,"HOBART 4.8 ESE, NY US",42.3523,-74.5783,676.7,2018,,,,,,
US1NYOS0020,"FULTON 0.2 W, NY US",43.3165,-76.4185,121,2018,,,,,,
USC00302610,"ELMIRA, NY US",42.0997,-76.8358,288.6,2018,753,12,35,139,22,6821
USC00303025,"FRANKLINVILLE, NY US",42.3295,-78.4637,484.6,2018,499,20,56,142,1,7651
US1NYER0075,"ELMA CENTER 0.7 SE, NY US",42.8194,-78.6214,265.8,2018,,,,,,
USC00306314,"OSWEGO EAST, NY US",43.4622,-76.4934,106.7,2018,813,6,38,130,9,6437
USW00054757,"WELLSVILLE MUNICIPAL AIRPORT, NY US",42.10944,-77.99194,647.4,2018,,,,,,
US1NYSV0008,"WURTSBORO 0.2 SSW, NY US",41.5739,-74.4871,163.7,2018,,,,,,
US1NYOS0003,"OSWEGO 5.0 ESE, NY US",43.4437,-76.4052,139,2018,,,,,,
US1NYWR0013,"QUEENSBURY 2.5 E, NY US",43.3588,-73.6285,92.4,2018,,,,,,
US1NYER0077,"COLDEN 2.4 ENE, NY US",42.6509,-78.6106,502.9,2018,,,,,,
USW00014747,"DUNKIRK CHAUTAUQUA CO AIRPORT, NY US",42.49333,-79.27222,203,2018,730,0,44,134,2,6491
USC00300668,"BIG MOOSE 3 SE, NY US",43.8,-74.8667,536.4,2018,,,,,,
USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",42.15944,-76.89194,291.1,2018,719,7,29,144,15,6485
USC00300785,"BOONVILLE 4 SSW, NY US",43.4361,-75.3697,472.4,2018,348,24,97,110,1,8617
USC00301752,"COOPERSTOWN, NY US",42.7166,-74.9266,383.1,2018,242,11,86,74,2,
USC00305233,"MECKLENBURG 4 SW, NY US",42.4422,-76.7586,460.2,2018,479,12,64,130,3,7491
USW00094745,"WESTCHESTER CO AIRPORT, NY US",41.06694,-73.7075,115.5,2018,1013,1,16,144,12,5449
USC00305597,"MOUNT MORRIS 2 W, NY US",42.7313,-77.9054,268.2,2018,740,9,48,144,11,6786
USC00305113,"MARYLAND 6 SW, NY US",42.4694,-75.0105,373.4,2018,,,,,,
US1NYCB0001,"HUDSON 8.2 S, NY US",42.1335,-73.7679,90.8,2018,,,,,,
USC00304102,"INDIAN LAKE 2 SW, NY US",43.75477,-74.27558,509,2018,277,31,88,105,1,9017
