GEO.id,GEO.id2,GEO.display-label,,,,,,HC01_VC03,HC02_VC03,HC01_VC13,HC02_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC04_VC20,HC01_VC50,HC02_VC50,HC01_VC64,HC02_VC64,HC01_VC69,HC02_VC69,HC01_VC70,HC02_VC70,HC01_VC84,HC02_VC84,HC03_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC120,HC02_VC120,HC03_VC120,HC04_VC120,HC01_VC121,HC02_VC121,HC03_VC121,HC04_VC121,HC01_VC122,HC02_VC122,HC03_VC122,HC04_VC122,HC01_VC123,HC02_VC123,HC03_VC123,HC04_VC123,HC01_VC124,HC02_VC124,HC03_VC124,HC04_VC124,HC01_VC125,HC02_VC125,HC03_VC125,HC04_VC125,HC01_VC126,HC02_VC126,HC03_VC126,HC04_VC126,HC01_VC127,HC02_VC127,HC03_VC127,HC04_VC127,HC01_VC128,HC02_VC128
Id,Id2,Geography,,,,,,Estimate; HOUSING OCCUPANCY - Total housing units,Margin of Error; HOUSING OCCUPANCY - Total housing units,Estimate; UNITS IN STRUCTURE - Total housing units,Margin of Error; UNITS IN STRUCTURE - Total housing units,"Estimate; UNITS IN STRUCTURE - Total housing units - 1-unit, detached","Margin of Error; UNITS IN STRUCTURE - Total housing units - 1-unit, detached","Percent; UNITS IN STRUCTURE - Total housing units - 1-unit, detached","Percent Margin of Error; UNITS IN STRUCTURE - Total housing units - 1-unit, detached","Estimate; UNITS IN STRUCTURE - Total housing units - 1-unit, attached","Margin of Error; UNITS IN STRUCTURE - Total housing units - 1-unit, attached","Percent; UNITS IN STRUCTURE - Total housing units - 1-unit, attached","Percent Margin of Error; UNITS IN STRUCTURE - Total housing units - 1-unit, attached",Estimate; UNITS IN STRUCTURE - Total housing units - 2 units,Margin of Error; UNITS IN STRUCTURE - Total housing units - 2 units,Percent; UNITS IN STRUCTURE - Total housing units - 2 units,Percent Margin of Error; UNITS IN STRUCTURE - Total housing units - 2 units,Estimate; UNITS IN STRUCTURE - Total housing units - 3 or 4 units,Margin of Error; UNITS IN STRUCTURE - Total housing units - 3 or 4 units,Percent; UNITS IN STRUCTURE - Total housing units - 3 or 4 units,Percent Margin of Error; UNITS IN STRUCTURE - Total housing units - 3 or 4 units,Estimate; UNITS IN STRUCTURE - Total housing units - 5 to 9 units,Margin of Error; UNITS IN STRUCTURE - Total housing units - 5 to 9 units,Percent; UNITS IN STRUCTURE - Total housing units - 5 to 9 units,Percent Margin of Error; UNITS IN STRUCTURE - Total housing units - 5 to 9 units,Estimate; UNITS IN STRUCTURE - Total housing units - 10 to 19 units,Margin of Error; UNITS IN STRUCTURE - Total housing units - 10 to 19 units,Percent; UNITS IN STRUCTURE - Total housing units - 10 to 19 units,Percent Margin of Error; UNITS IN STRUCTURE - Total housing units - 10 to 19 units,Estimate; UNITS IN STRUCTURE - Total housing units - 20 or more units,Margin of Error; UNITS IN STRUCTURE - Total housing units - 20 or more units,Percent; UNITS IN STRUCTURE - Total housing units - 20 or more units,Percent Margin of Error; UNITS IN STRUCTURE - Total housing units - 20 or more units,Estimate; ROOMS - Total housing units - Median rooms,Margin of Error; ROOMS - Total housing units - Median rooms,Estimate; HOUSING TENURE - Occupied housing units,Margin of Error; HOUSING TENURE - Occupied housing units,Estimate; HOUSING TENURE - Average household size of owner-occupied unit,Margin of Error; HOUSING TENURE - Average household size of owner-occupied unit,Estimate; HOUSING TENURE - Average household size of renter-occupied unit,Margin of Error; HOUSING TENURE - Average household size of renter-occupied unit,Estimate; VEHICLES AVAILABLE - Occupied housing units,Margin of Error; VEHICLES AVAILABLE - Occupied housing units,Percent; VEHICLES AVAILABLE - Occupied housing units,Estimate; VEHICLES AVAILABLE - Occupied housing units - No vehicles available,Margin of Error; VEHICLES AVAILABLE - Occupied housing units - No vehicles available,Percent; VEHICLES AVAILABLE - Occupied housing units - No vehicles available,Percent Margin of Error; VEHICLES AVAILABLE - Occupied housing units - No vehicles available,"Estimate; VALUE - Owner-occupied units - Less than $50,000","Margin of Error; VALUE - Owner-occupied units - Less than $50,000","Percent; VALUE - Owner-occupied units - Less than $50,000","Percent Margin of Error; VALUE - Owner-occupied units - Less than $50,000","Estimate; VALUE - Owner-occupied units - $50,000 to $99,999","Margin of Error; VALUE - Owner-occupied units - $50,000 to $99,999","Percent; VALUE - Owner-occupied units - $50,000 to $99,999","Percent Margin of Error; VALUE - Owner-occupied units - $50,000 to $99,999","Estimate; VALUE - Owner-occupied units - $100,000 to $149,999","Margin of Error; VALUE - Owner-occupied units - $100,000 to $149,999","Percent; VALUE - Owner-occupied units - $100,000 to $149,999","Percent Margin of Error; VALUE - Owner-occupied units - $100,000 to $149,999","Estimate; VALUE - Owner-occupied units - $150,000 to $199,999","Margin of Error; VALUE - Owner-occupied units - $150,000 to $199,999","Percent; VALUE - Owner-occupied units - $150,000 to $199,999","Percent Margin of Error; VALUE - Owner-occupied units - $150,000 to $199,999","Estimate; VALUE - Owner-occupied units - $200,000 to $299,999","Margin of Error; VALUE - Owner-occupied units - $200,000 to $299,999","Percent; VALUE - Owner-occupied units - $200,000 to $299,999","Percent Margin of Error; VALUE - Owner-occupied units - $200,000 to $299,999","Estimate; VALUE - Owner-occupied units - $300,000 to $499,999","Margin of Error; VALUE - Owner-occupied units - $300,000 to $499,999","Percent; VALUE - Owner-occupied units - $300,000 to $499,999","Percent Margin of Error; VALUE - Owner-occupied units - $300,000 to $499,999","Estimate; VALUE - Owner-occupied units - $500,000 to $999,999","Margin of Error; VALUE - Owner-occupied units - $500,000 to $999,999","Percent; VALUE - Owner-occupied units - $500,000 to $999,999","Percent Margin of Error; VALUE - Owner-occupied units - $500,000 to $999,999","Estimate; VALUE - Owner-occupied units - $1,000,000 or more","Margin of Error; VALUE - Owner-occupied units - $1,000,000 or more","Percent; VALUE - Owner-occupied units - $1,000,000 or more","Percent Margin of Error; VALUE - Owner-occupied units - $1,000,000 or more",Estimate; VALUE - Owner-occupied units - Median (dollars),Margin of Error; VALUE - Owner-occupied units - Median (dollars)
0400000US36,36,New York,,,,,,8255911,696,8255911,696,3466614,8480,42,0.1,413868,4136,5,0.1,859648,6416,10.4,0.1,592719,5610,7.2,0.1,428067,4339,5.2,0.1,341453,4204,4.1,0.1,1955765,6377,23.7,0.1,5,0.1,7302710,13551,2.77,0.01,2.47,0.01,7302710,13551,7302710,2117366,9004,29,0.1,211369,3232,5.4,0.1,422125,3310,10.7,0.1,439347,4369,11.1,0.1,384970,3779,9.8,0.1,550098,4876,14,0.1,934978,6030,23.7,0.1,749626,4588,19,0.1,249970,2996,6.3,0.1,293000,903
0500000US36001,36001,"Albany County, New York",,,,,,140088,384,140088,384,69913,1036,49.9,0.8,5429,394,3.9,0.3,22600,990,16.1,0.7,14511,772,10.4,0.5,8873,508,6.3,0.4,5933,502,4.2,0.4,10722,547,7.7,0.4,5.6,0.1,125376,1057,2.58,0.03,1.99,0.03,125376,1057,125376,16787,933,13.4,0.7,2653,304,3.7,0.4,3938,338,5.5,0.5,8796,541,12.3,0.8,16267,781,22.8,1,22923,746,32.2,1.1,13609,575,19.1,0.8,2616,290,3.7,0.4,472,144,0.7,0.2,214400,2358
0500000US36003,36003,"Allegany County, New York",,,,,,26324,250,26324,250,18976,387,72.1,1.2,204,58,0.8,0.2,1164,159,4.4,0.6,878,160,3.3,0.6,434,115,1.6,0.4,210,63,0.8,0.2,298,73,1.1,0.3,5.9,0.1,18124,359,2.4,0.05,2.16,0.1,18124,359,18124,1704,196,9.4,1.1,3567,203,26.5,1.4,6010,231,44.6,1.5,1849,172,13.7,1.2,993,112,7.4,0.8,657,118,4.9,0.9,300,76,2.2,0.6,81,36,0.6,0.3,6,6,0,0.1,73300,1647
0500000US36005,36005,"Bronx County, New York",,,,,,524488,557,524488,557,29667,1124,5.7,0.2,24969,912,4.8,0.2,47903,1509,9.1,0.3,46486,1459,8.9,0.3,19123,925,3.6,0.2,28483,1000,5.4,0.2,326281,1966,62.2,0.4,3.9,0.1,495356,1337,3.01,0.04,2.82,0.01,495356,1337,495356,288090,2415,58.2,0.5,12235,989,12.5,0.9,3982,438,4.1,0.5,4575,470,4.7,0.5,5196,478,5.3,0.5,9136,671,9.4,0.7,40801,1059,41.8,0.9,20212,925,20.7,0.9,1521,221,1.6,0.2,371800,5448
0500000US36007,36007,"Broome County, New York",,,,,,90727,242,90727,242,55072,773,60.7,0.9,2000,305,2.2,0.3,10197,629,11.2,0.7,7077,461,7.8,0.5,4642,408,5.1,0.5,3078,383,3.4,0.4,4238,370,4.7,0.4,5.8,0.1,78821,783,2.48,0.03,2.11,0.06,78821,783,78821,9797,602,12.4,0.7,4579,346,8.8,0.7,17109,624,33,1.1,13531,595,26.1,1.1,8314,514,16.1,1,5408,496,10.4,0.9,1948,232,3.8,0.4,649,127,1.3,0.2,231,101,0.4,0.2,113100,1759
0500000US36009,36009,"Cattaraugus County, New York",,,,,,41431,184,41431,184,27756,550,67,1.2,1288,154,3.1,0.4,2729,258,6.6,0.6,1727,244,4.2,0.6,1040,155,2.5,0.4,372,120,0.9,0.3,1175,170,2.8,0.4,5.8,0.1,31723,405,2.45,0.04,2.2,0.07,31723,405,31723,3558,300,11.2,0.9,4102,264,18.1,1,9678,421,42.8,1.5,4241,251,18.8,1.1,2363,200,10.4,0.9,1404,151,6.2,0.7,571,106,2.5,0.5,226,61,1,0.3,32,15,0.1,0.1,86500,1424
0500000US36011,36011,"Cayuga County, New York",,,,,,36882,173,36882,173,25203,416,68.3,1.1,719,205,1.9,0.6,2573,312,7,0.8,1519,273,4.1,0.7,744,204,2,0.6,687,178,1.9,0.5,1652,219,4.5,0.6,6.1,0.2,31428,469,2.45,0.04,2.13,0.08,31428,469,31428,3144,336,10,1,1939,151,8.7,0.7,6852,340,30.8,1.3,5378,307,24.2,1.3,3582,288,16.1,1.3,2847,223,12.8,1,1180,138,5.3,0.6,360,82,1.6,0.4,117,60,0.5,0.3,120000,2500
0500000US36013,36013,"Chautauqua County, New York",,,,,,67422,209,67422,209,45980,652,68.2,0.9,1134,180,1.7,0.3,7383,443,11,0.7,4063,374,6,0.6,1404,193,2.1,0.3,1100,225,1.6,0.3,1877,252,2.8,0.4,5.8,0.2,52983,696,2.44,0.03,2.15,0.06,52983,696,52983,5772,403,10.9,0.7,6441,437,17.4,1.1,15791,582,42.6,1.4,6611,417,17.8,1.1,3907,310,10.5,0.8,2490,233,6.7,0.6,1213,173,3.3,0.5,506,123,1.4,0.3,139,61,0.4,0.2,85800,1350
0500000US36015,36015,"Chemung County, New York",,,,,,38761,199,38761,199,25935,450,66.9,1.1,910,203,2.3,0.5,3923,352,10.1,0.9,2285,337,5.9,0.9,1426,238,3.7,0.6,774,155,2,0.4,1391,167,3.6,0.4,6,0.1,34664,539,2.46,0.05,2.18,0.08,34664,539,34664,3917,375,11.3,1,2397,213,10.2,0.9,8734,523,37,2,5337,390,22.6,1.6,3576,291,15.1,1.2,2344,291,9.9,1.2,1039,188,4.4,0.8,164,75,0.7,0.3,18,23,0.1,0.1,105500,3515
