lon,lat,id,id (2)
-73.80361,42.75757,ALB,ALB
-78.1675,43.0317,GVQ,GVQ
-75.97972,42.20856,BGM,BGM
-72.86889,40.82167,HWV,HWV
-78.7358,42.9408,BUF,BUF
-76.2149,42.5926,N03,N03
-77.71305,42.5709,DSV,DSV
-79.27204,42.49334,DKK,DKK
-72.25,40.96,HTO,HTO
-76.89161,42.15989,ELM,ELM
-73.41341,40.72878,FRG,FRG
-75.71946,44.05562,GTB,GTB
-73.61031,43.34122,GFL,GFL
-75.40703,43.23381,RME,RME
-73.10167,40.79389,ISP,ISP
-76.4584444,42.4910278,ITH,ITH
-79.25803,42.15339,JHW,JHW
-74.3296,42.9982,NY0,NY0
-74.009,40.7012,JRB,JRB
-74.84556,44.93583,MSS,MSS
-71.923330000000007,41.07306,MTP,MTP
-74.79503,41.70164,MSV,MSV
-74.10483,41.50411,SWF,SWF
-73.96925,40.779,NYC,NYC
-73.76222,40.63861,JFK,JFK
-73.88028,40.77945,LGA,LGA
-78.94619,43.10733,IAG,IAG
-75.4655,44.68186,OGS,OGS
-78.3713889,42.24125,OLE,OLE
-74.265,41.50917,MGJ,MGJ
-76.38472,43.34972,FZY,FZY
-77.05286,42.63709,PEO,PEO
-73.46814,44.65094,PBG,PBG
-73.52452,44.68752,PLB,PLB
-74.9484,44.6767,PTD,PTD
-73.88419,41.62658,POU,POU
-77.6767,43.1167,ROC,ROC
-74.20619,44.38531,SLK,SLK
-73.93,42.85,SCH,SCH
-76.4408,42.914,6B9,6B9
-78.6580811,42.508395,XNT,XNT
-76.10631,43.11119,SYR,SYR
-75.38386,43.14511,UCA,UCA
-76.0262,43.98883,ART,ART
-77.99,42.11,ELZ,ELZ
-72.63179,40.84365,FOK,FOK
-73.7075,41.06694,HPN,HPN
-77.1195,43.2346,SDC,SDC
