zcta5,county,cntyname,zipname,pop2k,afact
ZIP Census Tabulation Area,county,cntyname,zipname,"Total Pop, 2000 census",zcta5 to county allocation factor
6390,36103,Suffolk NY,FISHERS ISLAND,289,1
10001,36061,New York NY,NEW YORK,17310,1
10002,36061,New York NY,NEW YORK,84870,1
10003,36061,New York NY,NEW YORK,53673,1
10004,36061,New York NY,GOVERNORS ISLAND,1225,1
10005,36061,New York NY,NEW YORK,884,1
10006,36061,New York NY,NEW YORK,1447,1
10007,36061,New York NY,NEW YORK,3522,1
10009,36061,New York NY,NEW YORK,58595,1
10010,36061,New York NY,NEW YORK,26408,1
10011,36061,New York NY,NEW YORK,46669,1
10012,36061,New York NY,NEW YORK,26000,1
10013,36061,New York NY,NEW YORK,25042,1
10014,36061,New York NY,NEW YORK,32667,1
10016,36061,New York NY,NEW YORK,51217,1
10017,36061,New York NY,NEW YORK,16201,1
10018,36061,New York NY,NEW YORK,4255,1
10019,36061,New York NY,NEW YORK,36012,1
10020,36061,New York NY,NEW YORK,1,1
10021,36061,New York NY,NEW YORK,102078,1
10022,36061,New York NY,NEW YORK,30642,1
10023,36061,New York NY,NEW YORK,62206,1
10024,36061,New York NY,NEW YORK,61414,1
10025,36061,New York NY,NEW YORK,97086,1
10026,36061,New York NY,NEW YORK,30377,1
10027,36061,New York NY,NEW YORK,56168,1
10028,36061,New York NY,NEW YORK,44987,1
10029,36061,New York NY,NEW YORK,75390,1
10030,36061,New York NY,NEW YORK,25847,1
10031,36061,New York NY,NEW YORK,60221,1
10032,36061,New York NY,NEW YORK,63842,1
10033,36061,New York NY,NEW YORK,58259,1
10034,36061,New York NY,NEW YORK,41756,1
10035,36061,New York NY,NEW YORK,32702,1
10036,36061,New York NY,NEW YORK,18751,1
10037,36061,New York NY,NEW YORK,16984,1
10038,36061,New York NY,NEW YORK,15574,1
10039,36061,New York NY,NEW YORK,21737,1
10040,36061,New York NY,NEW YORK,46599,1
10044,36061,New York NY,NEW YORK,9520,1
10048,36061,New York NY,NEW YORK,55,1
10069,36061,New York NY,10069,1403,1
10128,36061,New York NY,NEW YORK,59856,1
10162,36061,New York NY,NEW YORK,1726,1
10165,36061,New York NY,NEW YORK,7,1
10170,36061,New York NY,NEW YORK,1,1
10171,36061,New York NY,NEW YORK,1,1
10280,36061,New York NY,NEW YORK,6614,1
