Geography,US_CS_2019,Pop_Est_2018,EV_2018,EV_total_2025,Weight_Range_low,Weight_Range_high,Housing_detached,Housing_units_1_attached,Apartments,One_car,Two_cars,Value_Median_dollars,Inc_household,DX32,DX90,lat,long
Albany_County,63,307117,335,6058,4033,2013,69913,5429,238030,47431,44259,214400,66204,37,13,42.74722,-73.79912
Allegany_County,1,46430,2,36,5704,590,18976,204,46668,6478,6635,73300,49864,52,4,42.1173,-77.9475
Bronx_County,13,1432132,242,4376,1526,3381,29667,24969,627027,148356,49779,371800,37397,14,21,40.848711,-73.852939
Broome_County,13,191659,76,1374,7303,161,55072,2000,157996,29025,27796,113100,47758,67,1,42.1098,-75.8858
Cattaraugus_County,8,76840,7,127,6016,290,27756,1288,73204,11239,11812,86500,48484,55,2,42.3295,-78.4637
Cayuga_County,5,77145,21,380,5722,1208,25203,719,65377,10930,11760,120000,56599,53,8,42.7864,-76.7034
Chautauqua_County,0,127939,26,470,5086,1753,45980,1134,121919,20712,19096,85800,46079,47,11,42.49333,-79.27222
Chemung_County,7,84254,34,615,3161,2415,25935,910,69529,11928,13140,105500,51194,29,15,42.0839,-76.7881
Chenango_County,0,47536,12,217,5014,1395,15760,247,42606,7309,7662,95900,52220,46,9,42.5833,-75.4333
Clinton_County,10,80695,35,633,7085,1449,22196,927,61322,10637,11769,129000,58234,65,9,44.6918,-73.4556
Columbia_County,14,59916,57,1031,6758,1610,24497,638,60390,8451,9887,224600,67132,62,10,42.1331,-73.7854
Cortland_County,3,47823,12,217,2180,161,12630,279,35811,5926,7175,113900,57743,20,1,42.4516,-76.0437
Delaware_County,5,44527,14,253,5232,1288,23358,208,56157,6675,7116,138000,53590,48,8,42.3523,-74.5783
Dutchess_County,33,293718,363,6565,2362,2898,77424,6206,211528,34630,40294,275200,77915,22,18,41.7857,-73.7422
Erie_County,59,919719,501,9060,6286,537,249242,11860,766262,150712,133456,139900,55604,58,3,42.9408,-78.7358
Essex_County,4,37300,31,561,7467,1449,20532,476,48118,4983,6204,146900,47380,69,9,44.495,-73.4711
Franklin_County,11,50293,14,253,9429,564,18647,235,45555,6643,7603,102200,45667,87,4,44.842,-74.3081
Fulton_County,4,53591,10,181,4796,1771,19991,205,52513,8218,8391,107600,44276,44,11,43.115609,-74.42368
Genesee_County,4,57511,15,271,4905,1771,18533,504,46922,8282,9153,111900,49922,45,11,42.9985,-78.2057
Greene_County,6,47491,31,561,5450,483,22204,789,53959,6113,6361,176100,49655,50,3,42.1388,-74.087
Hamilton_County,1,4434,1,18,9592,161,7858,41,16828,349,520,164000,51522,88,1,43.75477,-74.27558
Herkimer_County,5,61833,10,181,9265,3220,23430,361,60384,9349,9278,95800,45047,85,20,43.1232,-74.7974
Jefferson_County,9,111755,23,416,5886,1369,34043,3810,100647,15614,17374,149300,47101,54,9,43.98867,-76.02623
Kings_County,69,2582830,883,15969,1526,3381,53660,88807,1355247,319567,84180,623900,56942,14,21,40.7145,-73.8819
Lewis_County,1,26447,1,18,8448,644,12200,101,28317,2981,4482,121700,46840,78,4,43.8524,-75.7158
Livingston_County,6,63227,25,452,4251,2093,18990,389,48273,7782,9698,125000,55931,39,13,43.1521,-78.6534
Madison_County,7,70795,40,723,9483,2254,23332,341,57783,8559,11056,132800,57069,87,14,43.0801,-75.6686
Monroe_County,58,742474,758,13708,4142,2469,206453,18530,573123,111704,112239,142300,57561,38,15,43.1167,-77.6767
Montgomery_County,4,49455,14,253,4360,2093,13467,789,42387,6771,6840,99900,44156,40,13,42.9643,-74.4756
Nassau_County,22,1358343,2759,49895,1526,3381,358592,13578,874727,125379,183008,460700,108133,14,21,40.6981,-73.4499
New_York_County,335,1628701,1581,28591,1526,3381,9217,6573,897158,153579,17574,915300,85071,14,21,40.77898,-73.96925
Niagara_County,11,210433,83,1501,4251,2061,69512,2219,180984,32955,32679,114800,54743,39,13,43.10833,-78.93806
Oneida_County,17,229577,79,1429,7303,1208,64517,1600,185129,34994,32496,120000,53902,67,8,43.2761,-75.1566
Onondaga_County,40,461809,260,4702,4905,2415,129642,8957,363117,69064,68216,139400,57652,45,15,43.1111,-76.1038
Ontario_County,11,109864,96,1736,4251,1691,33575,2351,88163,14481,17620,156500,66004,39,11,42.84505,-77.28071
Orange_County,19,381951,269,4865,2725,3301,87774,9468,248339,38161,47591,260300,79311,25,21,41.3906,-73.9608
Orleans_County,0,40612,10,181,4360,2093,13535,293,33455,5751,6326,93600,48502,40,13,43.2093,-78.3894
Oswego_County,2,117898,28,506,4106,2683,35887,568,93995,15397,17659,97800,53406,38,17,43.3165,-76.4185
Otsego_County,8,59749,25,452,9374,322,21756,350,55090,8185,9028,141900,47765,86,2,42.7166,-74.9266
Putnam_County,3,98892,130,2351,4578,564,30120,2787,73250,8486,14175,357700,99479,42,4,41.4725,-73.655
Queens_County,54,2278906,1190,21520,1417,3703,161420,73433,1259942,315685,134441,481300,64509,13,23,40.7792,-73.88
Rensselaer_County,18,159442,131,2369,4033,2576,41184,2185,126070,22702,23835,183400,64050,37,16,42.9361,-73.43257
Richmond_County,4,476179,270,4883,1526,3381,61903,45771,328150,59123,55956,460200,79201,14,21,40.563855,-74.137063
Rockland_County,14,325695,466,8427,1526,3381,60221,8744,181202,29641,38976,425100,88726,14,21,41.0835,-73.993
St._Lawrence_County,10,108047,20,362,7339,1664,37683,737,93532,14783,16149,88000,50325,67,10,44.7281,-75.4442
