,Geography,Actual,ridge,,Geography,Actual,Ridge,OLS 
3,Broome_County,13,33,,Broome_County,13,25,33
4,Cattaraugus_County,8,22,,Cattaraugus_County,8,12,22
22,Jefferson_County,9,19,,Jefferson_County,9,10,19
33,Onondaga_County,40,6,,Onondaga_County,40,26,6
34,Ontario_County,11,15,,Ontario_County,11,16,15
37,Oswego_County,2,-14,,Oswego_County,2,-7,-14
38,Otsego_County,8,38,,Otsego_County,8,20,38
39,Putnam_County,3,78,,Putnam_County,3,67,78
48,Schuyler_County,2,27,,Schuyler_County,2,10,27
55,Ulster_County,60,38,,Ulster_County,60,31,38
62,Alameda_County,311,415,,Alameda_County,311,295,415
65,Butte_County,19,-8,,Butte_County,19,7,-8
70,El_Dorado_County,34,32,,El_Dorado_County,34,34,32
73,Humboldt_County,36,16,,Humboldt_County,36,14,16
74,Imperial_County,4,22,,Imperial_County,4,19,22
81,Madera_County,17,12,,Madera_County,17,14,12
90,Nevada_County,25,8,,Nevada_County,25,16,8
101,San_Luis_County,114,35,,San_Luis_County,114,45,35
104,Santa_Clara_County,507,721,,Santa_Clara_County,507,426,721
107,Sierra_County,1,6,,Sierra_County,1,1,6
108,Siskiyou_County,8,8,,Siskiyou_County,8,-2,8
109,Solano_County,91,44,,Solano_County,91,63,44
116,Tuolumne_County,7,19,,Tuolumne_County,7,13,19
117,Ventura_County,85,107,,Ventura_County,85,116,107
