Fuel Type Code,Station Name,Street Address,City,State,ZIP,Stations,Groups With Access Code,EV Network,Latitude,Longitude,Date Last Confirmed,ID,EV Connector Types,Access Code
ELEC,LADWP - Truesdale Center,11791 Truesdale St,Sun Valley,CA,91352,1,Private - Government only,,34.249396,-118.387136,10/4/18,1517,J1772,private
ELEC,Southern California Edison - Rosemead Office Building 1,2244 Walnut Grove Ave,Rosemead,CA,91770,1,Private,Greenlots,34.050745,-118.081014,1/10/19,1520,J1772,private
ELEC,Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,1,Public,,34.04057,-118.268762,5/3/18,1523,J1772,public
ELEC,LADWP - John Ferraro Building,111 N Hope St,Los Angeles,CA,90012,1,Public,,34.057922,-118.2498,10/4/18,1525,CHADEMO,public
ELEC,Cherokee & Hollywood Parking Garage,1718 N Cherokee Ave,Los Angeles,CA,90028,1,Public,,34.102404,-118.334758,5/3/18,1526,J1772,public
ELEC,LADWP - Haynes Power Plant,6801 Westminster Ave,Long Beach,CA,90803,1,Private,,33.759802,-118.096665,10/4/18,1531,J1772,private
ELEC,State Capitol Parking Garage,1303 10th St,Sacramento,CA,95814,1,Private - Government only,,38.576769,-121.495022,5/3/18,1533,J1772,private
ELEC,CITYOFSANTAROSA,100 Santa Rosa Ave,Santa Rosa,CA,95404,1,Public,ChargePoint Network,38.4378748,-122.7108967,3/8/19,1546,J1772,public
ELEC,LADWP - Wilmington,161 N Island Ave,Wilmington,CA,90744,1,Private - Government only,,33.770508,-118.265628,10/4/18,1552,J1772,private
ELEC,LADWP - Sylmar Center,13101 Sepulveda Blvd,Sylmar,CA,91344,1,Private - Government only,,34.30309,-118.480505,10/4/18,1556,J1772,private
ELEC,LADWP - EV Service Center,1630 N Main St,Los Angeles,CA,90012,1,Private - Government only,,34.066801,-118.227605,10/4/18,1572,J1772,private
ELEC,LADWP - Fairfax Center,2311 S Fairfax Ave,Los Angeles,CA,90016,1,Private - Government only,,34.036777,-118.368841,10/4/18,1573,J1772,private
ELEC,LADWP - Ducommun Center,433 E Temple St,Los Angeles,CA,90012,1,Private - Government only,,34.051852,-118.236702,10/4/18,1575,J1772,private
ELEC,California Air Resources Board,9530 Telstar Ave,El Monte,CA,91731,1,Public,,34.06872,-118.064,5/3/18,1583,J1772,public
ELEC,LADWP - Palmetto Center,1212 Palmetto St,Los Angeles,CA,90013,1,Private - Government only,,34.040191,-118.235077,10/4/18,1589,J1772,private
ELEC,HPE SAN JOSE,3000 Hanover St,Palo Alto,CA,94304,1,Public,ChargePoint Network,37.416434,-122.145904,3/8/19,1593,J1772,public
ELEC,Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,1,Public,,32.89947,-117.243,5/3/18,6355,J1772,public
ELEC,Santa Monica Place Mall Garage #7 Civic Center,395 Broadway,Santa Monica,CA,90401,1,Public,,34.013658,-118.493749,5/3/18,6377,J1772,public
ELEC,San Diego Wild Animal Park,15500 San Pasqual Valley Rd,Escondido,CA,92027,1,Public,,33.098589,-117.004433,2/6/19,6384,J1772,public
ELEC,Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,1,Public - Call ahead,,34.221665,-118.468371,5/3/18,6405,J1772,public
ELEC,Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,1,Public,,33.91115,-117.4591,5/3/18,6425,J1772,public
ELEC,City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,1,Public,,34.14762,-118.147111,11/8/18,6505,J1772,public
ELEC,City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,1,Public,,34.145015,-118.152223,11/8/18,6506,J1772,public
ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,1,Public,,34.144506,-118.150015,11/8/18,6507,J1772,public
ELEC,Pasadena Hilton,150 S Los Robles,Pasadena,CA,91101,1,Public,,34.142973,-118.140553,5/3/18,6508,J1772,public
ELEC,Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,1,Public,,33.7637,-118.192,5/3/18,7172,J1772,public
ELEC,Hilton - Los Angeles International Airport,5711 W Century Blvd,Los Angeles,CA,90045,1,Public,,33.946181,-118.38161,2/6/19,7180,J1772,public
ELEC,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,1,Public,,33.94325,-118.403342,5/3/18,7184,J1772,public
ELEC,Northridge Fashion Center,9301 Tampa Ave,Northridge,CA,91324,1,Public,,34.237946,-118.555646,5/3/18,7192,J1772,public
ELEC,Ontario Airport Hilton,700 N Haven Ave,Ontario,CA,91764,1,Public,,34.07122,-117.575,5/3/18,7194,J1772,public
ELEC,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,1,Public,,34.22935,-119.173,5/3/18,7195,J1772,public
