Fuel Type Code,Station Name,Street Address,City,State,ZIP,Stations,Groups With Access Code,EV Network,Latitude,Longitude,Date Last Confirmed,ID,EV Connector Types,Access Code
ELEC,New York State Energy Research Development Authority - Headquarters,17 Columbia Cir,Albany,NY,12203,1,Private,,42.702424,-73.857693,12/11/18,35562,J1772,private
ELEC,EDISONPARKFAST,451 Ninth Ave,New York,NY,10018,1,Public,ChargePoint Network,40.7546106,-73.9959708,3/8/19,36945,J1772,public
ELEC,EDISONPARKFAST,50 W 44th St,New York,NY,10036,1,Public,ChargePoint Network,40.7558587,-73.9824966,3/8/19,38981,CHADEMO,public
ELEC,James J Peters VA Medical Center,130 W Kingsbridge Rd,Bronx,NY,10468,1,Private,,40.86887741,-73.90350342,1/10/19,41240,J1772,private
ELEC,TOWN OF BABYLON,281 Phelps Ln,North Babylon,NY,11703,1,Public,ChargePoint Network,40.728093,-73.330478,3/8/19,41260,J1772,public
ELEC,VILLAGE WARWICK,5 South St,Warwick,NY,10990,1,Public,ChargePoint Network,41.2571716,-74.3586731,3/8/19,41261,J1772,public
ELEC,EVPASS,141 West Washington Street,Syracuse,NY,13202,1,Public,ChargePoint Network,43.049405,-76.153772,3/8/19,41752,J1772,public
ELEC,EVPASS,217 Montgomery Street,Syracuse,NY,13202,1,Public,ChargePoint Network,43.048831,-76.148959,3/8/19,41753,J1772,public
ELEC,State University of New York - School of Environmental Science and Forestry,142 Oakland St,Syracuse,NY,13210,1,Private,,43.034109,-76.140932,6/5/18,41754,J1772,private
ELEC,EVPASS,124 Dell Street,Syracuse,NY,13210,1,Public,ChargePoint Network,43.04166,-76.120004,3/8/19,41756,J1772,public
ELEC,EVPASS,508 Westcott St,Syracuse,NY,13210,1,Public,ChargePoint Network,43.041604,-76.119715,3/8/19,41757,J1772,public
ELEC,EVPASS,599 Towne Dr,Fayetteville,NY,13066,1,Public,ChargePoint Network,43.033474,-76.0183029,3/8/19,41854,J1772,public
ELEC,EVPASS,143 N Washington St,Rome,NY,13440,1,Public,ChargePoint Network,43.212913,-75.458988,3/8/19,41859,J1772,public
ELEC,EVPASS,150 East Locust St,Rome,NY,13440,1,Public,ChargePoint Network,43.223629,-75.4469604,3/8/19,41861,J1772,public
ELEC,EVPASS,869 Kent Street,Rome,NY,13440,1,Public,ChargePoint Network,43.227211,-75.459671,3/8/19,41862,J1772,public
ELEC,EVPASS,506 West Embargo Street,Rome,NY,13440,1,Public,ChargePoint Network,43.2188454,-75.4631882,3/8/19,41863,J1772,public
ELEC,EVPASS,9090 Carousel Center Drive,Syracuse,NY,13290,1,Public,ChargePoint Network,43.067538,-76.170394,3/8/19,41864,J1772,public
ELEC,BEAM CHARGING,375 Hudson St,Manhattan,NY,10014,1,Public,ChargePoint Network,40.7284126,-74.0073318,3/8/19,42193,J1772,public
ELEC,AAA Car Care Plus,2131 Eggert Rd,Amherst,NY,14226,1,Public,,42.979363,-78.821443,4/3/18,42992,J1772,public
ELEC,BEAM CHARGING,200 W 71st St,Manhattan,NY,10023,1,Public,ChargePoint Network,40.7780647,-73.9825058,3/8/19,43262,J1772,public
ELEC,BEAM CHARGING,205 E 63rd St,Manhattan,NY,10065,1,Public,ChargePoint Network,40.7639046,-73.9644852,3/8/19,43263,J1772,public
