States,Year_2020,Year_2021,Year_2022,Year_2023,Year_2024,Year_2025,Year_2026,Year_2027,Year_2028,Year_2029,Year_2030,Year_2031,Year_2032,Year_2033,Year_2034,Year_2035,Year_2036,Year_2037,Year_2038,Year_2039,Year_2040
Alabama,1219,1494,1785,2477,3259,4162,5240,6672,8408,10651,13337,16177,18804,20415,22111,23114,23957,24727,25543,26386,27132
Alaska,218,267,319,443,583,745,938,1194,1505,1906,2387,2895,3366,3654,3957,4137,4288,4426,4572,4723,4856
Arizona,9977,12226,14602,20271,26667,34055,42875,54590,68799,87152,109133,132367,153866,167043,180922,189133,196029,202329,209001,215901,222009
Arkansas,612,751,896,1244,1637,2091,2632,3351,4224,5350,6700,8126,9446,10255,11107,11611,12034,12421,12830,13254,13629
California,216051,264737,316198,438943,577448,737446,928416,1182101,1489799,1887208,2363195,2866303,3331857,3617194,3917719,4095526,4244859,4381273,4525767,4675164,4807437
Colorado,9928,12165,14530,20170,26535,33887,42663,54320,68460,86721,108594,131713,153106,166218,180028,188198,195061,201329,207969,214834,220912
Conneticut,4808,5892,7037,9769,12852,16413,20663,26309,33157,42002,52595,63792,74154,80504,87193,91150,94473,97509,100725,104050,106994
Delaware,883,1082,1292,1794,2360,3013,3794,4830,6088,7712,9657,11712,13615,14781,16009,16735,17345,17903,18493,19104,19644
District _of _Columbia,1072,1313,1568,2177,2864,3657,4605,5863,7389,9360,11720,14216,16524,17940,19430,20312,21053,21729,22446,23187,23843
Florida,19297,23646,28242,39205,51576,65867,82923,105582,133065,168560,211074,256010,297592,323077,349919,365801,379139,391323,404229,417572,429387
Georgia,8454,10359,12372,17175,22595,28855,36328,46254,58294,73844,92469,112155,130372,141536,153296,160253,166096,171434,177088,182934,188109
Hawaii,3233,3961,4731,6568,8641,11035,13892,17688,22292,28239,35361,42889,49856,54125,58622,61283,63517,65558,67720,69956,71935
Idaho,700,857,1024,1422,1870,2389,3007,3829,4825,6113,7654,9284,10792,11716,12690,13265,13749,14191,14659,15143,15571
Illinois,10359,12693,15161,21046,27687,35358,44514,56678,71431,90485,113307,137429,159751,173432,187841,196366,203526,210066,216995,224158,230500
Indiana,2867,3513,4196,5824,7662,9785,12319,15685,19768,25041,31357,38033,44210,47996,51984,54343,56324,58134,60052,62034,63789
Iowa,1291,1582,1890,2623,3451,4407,5548,7064,8903,11278,14123,17130,19912,21617,23413,24476,25368,26183,27047,27940,28730
Kansas,1328,1627,1943,2698,3549,4532,5706,7265,9156,11598,14523,17615,20476,22230,24077,25170,26087,26926,27814,28732,29545
Kentucky,1108,1358,1622,2251,2962,3782,4762,6063,7641,9679,12121,14701,17089,18552,20094,21006,21772,22471,23213,23979,24657
Louisiana,863,1058,1263,1754,2307,2946,3709,4722,5952,7539,9441,11451,13311,14451,15651,16362,16958,17503,18080,18677,19206
Maine,1125,1379,1647,2286,3007,3840,4834,6155,7758,9827,12306,14925,17350,18835,20400,21326,22104,22814,23566,24344,25033
Maryland,8869,10868,12980,18019,23705,30273,38113,48527,61158,77472,97012,117666,136777,148491,160828,168127,174257,179857,185789,191922,197352
Massachusettes,12658,15511,18526,25717,33832,43206,54395,69258,87286,110569,138457,167934,195210,211927,229535,239952,248702,256694,265160,273913,281663
Michigan,5028,6161,7359,10215,13439,17162,21607,27511,34672,43920,54998,66706,77541,84182,91176,95314,98789,101964,105327,108803,111882
Minnesota,4017,4922,5879,8161,10737,13712,17262,21979,27700,35090,43940,53294,61950,67256,72844,76150,78926,81463,84149,86927,89386
Mississippi,325,399,476,661,869,1110,1398,1780,2243,2841,3558,4315,5016,5446,5898,6166,6390,6596,6813,7038,7237
Missouri,3193,3913,4674,6488,8535,10900,13723,17472,22020,27895,34930,42366,49248,53465,57907,60535,62743,64759,66895,69103,71058
Montana,386,473,565,784,1031,1317,1658,2111,2660,3370,4220,5118,5950,6459,6996,7313,7580,7824,8082,8348,8585
Nebraska,884,1084,1294,1796,2363,3018,3800,4838,6097,7724,9672,11731,13636,14804,16034,16762,17373,17931,18523,19134,19676
Nevada,3274,4011,4791,6651,8750,11174,14068,17912,22574,28596,35808,43431,50485,54809,59362,62057,64319,66386,68576,70840,72844
New _Hampshire,1581,1938,2314,3213,4226,5397,6795,8651,10903,13812,17296,20978,24385,26473,28673,29974,31067,32065,33123,34216,35184
New _Jersey,12996,15925,19020,26404,34735,44360,55847,71107,89616,113521,142153,172417,200421,217585,235663,246358,255341,263547,272239,281225,289182
New _Mexico,993,1216,1453,2017,2653,3388,4266,5431,6845,8671,10858,13169,15308,16619,18000,18817,19503,20130,20794,21480,22088
New _York,22179,27177,32460,45061,59279,75705,95309,121352,152939,193736,242600,294248,342041,371333,402184,420437,435767,449771,464605,479941,493520
North _Carolina,6635,8130,9710,13479,17733,22646,28510,36301,45750,57954,72571,88020,102317,111079,120308,125768,130354,134543,138980,143568,147630
North _Dakota,134,164,196,272,358,457,575,732,922,1168,1463,1775,2063,2240,2426,2536,2628,2713,2802,2895,2976
Ohio,6274,7688,9182,12747,16769,21416,26961,34329,43264,54805,68628,83238,96758,105044,113772,118935,123272,127233,131430,135768,139609
Oklahoma,3778,4629,5529,7675,10097,12895,16234,20670,26050,32999,41321,50119,58259,63248,68503,71612,74223,76608,79135,81747,84060
Oregon,8414,10311,12315,17095,22489,28721,36158,46038,58022,73500,92038,111632,129764,140876,152581,159506,165322,170634,176262,182080,187232
Pennsylvania,8537,10461,12494,17344,22817,29139,36685,46709,58867,74570,93378,113257,131653,142927,154802,161828,167728,173119,178828,184731,189958
Rhode _Island,872,1068,1276,1771,2329,2975,3745,4769,6010,7613,9533,11563,13441,14592,15804,16522,17124,17674,18257,18860,19394
Souh _Dakota,190,233,278,386,508,649,817,1040,1311,1660,2079,2522,2931,3182,3447,3603,3735,3855,3982,4113,4230
South _Carolina,1647,2019,2411,3347,4403,5623,7079,9014,11360,14390,18019,21856,25406,27581,29873,31229,32367,33407,34509,35648,36657
Tennessee,2808,3440,4109,5704,7504,9583,12065,15362,19360,24525,30710,37248,43298,47006,50911,53222,55163,56935,58813,60754,62473
Texas,16564,20297,24242,33653,44271,56538,71179,90629,114219,144687,181180,219752,255445,277321,300361,313993,325442,335901,346979,358433,368574
Utah,3231,3960,4729,6565,8637,11030,13886,17680,22283,28227,35346,42871,49834,54102,58597,61256,63489,65530,67691,69925,71904
Vermont,1160,1422,1698,2357,3101,3960,4986,6348,8000,10135,12691,15392,17892,19425,21039,21993,22795,23528,24304,25106,25816
Virginia,8976,10999,13137,18237,23991,30638,38573,49112,61896,78407,98183,119085,138427,150282,162768,170155,176360,182027,188030,194237,199733
Washington,17812,21825,26068,36187,47606,60796,76540,97454,122821,155584,194826,236303,274684,298207,322983,337642,349953,361199,373111,385428,396333
West _Virginia,307,376,449,624,820,1048,1319,1679,2117,2681,3357,4072,4734,5139,5566,5819,6031,6225,6430,6642,6830
Wisconsin,2754,3375,4031,5595,7361,9401,11835,15069,18991,24057,30125,36538,42473,46110,49941,52208,54111,55850,57692,59597,61283
Wyoming,130,159,190,263,346,442,557,709,893,1132,1417,1719,1998,2169,2349,2456,2545,2627,2714,2803,2882
