Fuel Type Code,Station Name,Street Address,City,State,ZIP,Stations,Groups With Access Code,EV Network,Latitude,Longitude,Date Last Confirmed,ID,EV Connector Types,Access Code
ELEC,Ramada,1319 2nd St W,Brooks,AB,T1R 1P7,1,Public,,50.585242,-111.898615,12/11/18,82833,J1772,public
ELEC,Davis Chevrolet,149 E Lake Cres NE,Airdrie,AB,T4A 2H9,1,Public,,51.288119,-113.998284,12/11/18,82834,J1772,public
ELEC,Go Nissan South,1275 101 St SW,Edmonton,AB,T6X 1A1,1,Public - Call ahead,,53.421352,-113.49069,6/11/18,82835,J1772,public
ELEC,Don Wheaton Chevrolet,10727 - 82 Ave,Edmonton,AB,T6E 2B1,1,Public - Call ahead,,53.517704,-113.507252,6/11/18,82836,J1772,public
ELEC,Gasonic Instruments,8-823 41st Ave NE,Calgary,AB,T2E 6Y3,1,Public - Call ahead,,51.092856,-114.043029,12/11/18,82837,J1772,public
ELEC,International Motor Cars,7220 Railway St SE,Calgary,AB,T2H 3A8,1,Public - Call ahead,,50.990495,-114.042414,12/11/18,82838,J1772,public
ELEC,Residence Inn,3710 Market St SE,Calgary,AB,T3M 2P2,1,Public - Call ahead,,50.88028294,-113.9558735,12/11/18,82839,J1772,public
ELEC,Platinum Mitsubishi,2720 Barlow Trail NE,Calgary,AB,T1Y 1A1,1,Public - Call ahead,,51.07626274,-114.0002598,6/11/18,82840,J1772,public
ELEC,Okotoks Municipal Centre,5 Elizabeth St,Okotoks,AB,T1S 2K1,1,Public,,50.725129,-113.975283,12/11/18,82898,J1772,public
ELEC,Bear Street Parkade,128 Bear St,Banff,AB,T1L 1A1,1,Public,,51.175795,-115.572164,5/7/18,83035,J1772,public
ELEC,Accutech Rentals,9730 32nd Ave NW,Edmonton,AB,T6N 1L9,1,Public,,53.464353,-113.481575,12/11/18,83514,J1772,public
ELEC,Alberco,14 Rayborn Cres,St. Albert,AB,T8N 4B1,1,Public,,53.622373,-113.642141,12/11/18,83515,J1772,public
ELEC,Banff Park Lodge,222 Lynx St,Banff,AB,T1L 1K5,1,Public,,51.177928,-115.573617,12/11/18,83516,J1772,public
ELEC,Best Western Plus,50 Westpark Blvd,Fort Saskatchewan,AB,T8L 0B2,1,Public,,53.680736,-113.247995,12/11/18,83517,J1772,public
ELEC,Best Western Premier Denham Inn & Suites,5207 50th Ave,Leduc,AB,T9E 6V3,1,Public,,53.264188,-113.558316,1/3/18,83518,J1772,public
ELEC,Canadian Tire,2110 101st St NW,Edmonton,AB,T6N 1J2,1,Public,,53.451523,-113.487793,12/11/18,83522,J1772,public
ELEC,Competition Chevrolet,40 Boulder Blvd,Stony Plain,AB,T7Z 1V7,1,Public,,53.542013,-113.990121,12/11/18,83609,J1772,public
